dataName,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data,data
0.704376327,0.332058701,0.688163721,0.717693298,0.366586599,0.256390759,0.103667944,0.360495295,0.938956823,0.434949478,0.127565692,0.34917341,0.865285693,0.512724367,0.25851125,0.210612307,0.182676448,0.669146096,0.69669826,0.887249583,0.832328182,0.131437117,0.084357504,0.694779986,0.617660903,0.560791285,0.218074958,0.936911121,0.791023028,0.779623439,0.888754716,0.13688967,0.106416324,0.762268565,0.542040851,0.484000267,0.980115543,0.10681337,0.904599513,0.500726583,0.168030392,0.794471933,0.471201289,0.721340445,0.007099193,0.03565184,0.618610363,0.269008841,0.508459842,0.204029987,0.148240395,0.440350574,0.081508063,0.757969185,0.235012096,0.732108113,0.945945924,0.629246439,0.016993128,0.04383949,0.650548054,0.505924211,0.135634089,0.480190711,0.02318539,0.326288998,0.15830594,0.396497102
0.638089348,0.748094373,0.003651054,0.563436579,0.090179767,0.755242318,0.652393983,0.698837734,0.192133455,0.383159092,0.789688583,0.356185719,0.001092679,0.111170325,0.019866892,0.022151584,0.087811662,0.07996424,0.003178703,0.669083901,0.016218778,0.174329574,0.000794676,0,0.001291348,0,0,0.586380437,0.006059402,0,0,0,0,0.482221837,0.173356876,0,0,0.019469554,0,0.925055347,0.125655451,0.618104734,0.694017232,0.002781365,0.003675375,0,0.008145426,0,0.07618953,0,0,0,0.016191517,0.000397338,0.001589351,0,0.003278037,0.20199741,0.431925692,0.782938241,0.916798846,0.012954531,0.199999908,0.714044802,0.974399807,0,0,0
0.346636466,0.316856841,0.232445308,0.453036818,0.704026872,0.325690218,0.108676983,0.37371429,0.772661196,0.96037322,0.934565744,0.028533658,0.000596007,0.503560442,0.005463395,0.011622132,0.067448098,0.031687692,0.004569385,0.326321953,0.933602555,0.568244205,0.000794676,0,0,0,0,0.560254395,0.003973378,0,0,0,0,0.169185391,0.825597228,0,0.000993345,0.018178206,0,0.632662703,0.600451652,0.860503084,0.614337249,0,0.00268203,0,0.03943578,0,0.050958578,0,0,0.000298003,0.03675375,0.001192014,0.002880699,0,0.006357405,0.455769868,0.374846157,0.325247402,0.910419234,0.157746295,0.140823593,0.36453007,0.585726792,0,0.000298003,0
0.520225185,0.595268041,0.738584348,0.055549039,0.944207176,0.28277849,0.528750369,0.429438141,0.091097532,0.566460964,0.45854277,0.368828617,0.012218138,0.471870937,0.00178802,0.000794676,0.009238105,0.007847422,0.005463395,0.831688743,0.87383049,0.914475662,0,0.001390682,0,0,0,0.137118357,0.004569385,0,0,0,0,0.412575312,0.727293027,0,0,0.000695341,0,0.187676787,0.467039298,0.293680682,0.133200568,0,0.000596007,0,0.005165392,0,0.131220821,0,0,0.000695341,0.019072216,0,0.001192014,0,0.023144929,0.212640814,0.1967397,0.225374891,0.784375803,0.889698216,0.135560717,0.322994314,0.090309533,0,0.000198669,0
0.86593248,0.931631841,0.573335886,0.509943433,0.402633076,0.570534767,0.468149564,0.661072735,0.328960558,0.955684301,0.806832177,0.685974871,0.003476706,0.088528722,0.002980034,0.001986689,0.020760902,0.027217642,0.006556074,0.570306917,0.921993134,0.217679158,0,0,0,0,0,0.033496656,0.003476706,0,0,0,0,0.763727636,0.120879699,0,0,0,0,0.952287745,0.369698781,0.005474452,0.672658968,0,0.001192014,0,0,0,0.100228469,0,0,0,0.002384027,0,0.000496672,0,0.018575544,0.135737079,0.447260934,0.219385476,0.591174024,0.427868285,0.058877312,0.914892996,0.39613587,0,0,0
0.797095046,0.69642691,0.92826188,0.903121112,0.154765557,0.084039611,0.303638418,0.057574771,0.329235111,0.160139567,0.172381682,0.021873079,0.001986689,0.313177187,0.003377372,0.001192014,0.010430118,0.02115824,0.004867388,0.834379689,0.108221529,0.868625429,0,0,0,0,0,0.37964603,0.002582696,0,0,0,0,0.055046035,0.547780547,0,0,0,0,0.982524882,0.572220086,0.146648437,0.333697061,0,0.000596007,0,0.000298003,0,0.085228966,0,0,0,0.003476706,0,0,0,0.016588855,0.772749405,0.583313929,0.884167493,0.011475627,0.44169408,0.879233139,0.377417145,0.724054667,0,0.000198669,0
0.21020849,0.156976437,0.491673663,0.234099454,0.320527322,0.978160989,0.887588936,0.499870666,0.701923099,0.092961381,0.456906686,0.870268881,0.007748088,0.51954271,0.014999503,0.001390682,0.025032284,0.035661071,0.001092679,0.72530773,0.136715125,0.632993613,0,0.001986689,0,0,0,0.238004116,0.008443429,0,0,0,0,0.173558082,0.538927195,0,0,0.000596007,0,0.69801006,0.51935203,0.988576888,0.379891566,0,0,0,0.00089401,0,0.181285388,0,0,0,0.009337439,0.000397338,0.003278037,0,0.016191517,0.743684729,0.770588246,0.093181602,0.21070226,0.518340354,0.27508136,0.679157283,0.179165719,0,0,0
0.322336431,0.793305844,0.048509976,0.173761144,0.381867732,0.390010057,0.936462592,0.082168625,0.297798404,0.888900214,0.755978905,0.93104066,0.001688686,0.840851787,0.003675375,0.001192014,0.009933446,0.020860236,0.002781365,0.611180873,0.835277658,0.358705431,0,0,0.000794676,0,0,0.141755092,0.001490017,0,0,0,0,0.156162309,0.162459253,0,0.000198669,0.000298003,0,0.068949881,0.007026664,0.178128407,0.939562204,0,0.000397338,0,0,0,0.100129135,0,0,0,0.00466872,0,0,0,0.015992848,0.149669126,0.204763911,0.820680897,0.325900411,0.542561859,0.770341269,0.08244929,0.625584681,0,0.000198669,0
0.996167531,0.555533533,0.528790496,0.959894518,0.789065106,0.437822872,0.215354843,0.397261736,0.815362447,0.73842452,0.56645339,0.218150136,0.002582696,0.355479634,0.006655409,0,0.016191517,0.043309824,0.00178802,0.13970771,0.211892781,0.92244272,0,0,0,0,0,0.616387986,0.00268203,0,0,0,0,0.851140364,0.887113544,0,0,0,0,0.397400002,0.598744244,0.728736223,0.406201715,0,0,0,0,0,0.206814344,0,0,0,0.000397338,0,0,0,0.011920135,0.867062909,0.995884585,0.397652043,0.402469772,0.712904394,0.306102301,0.148474974,0.380334368,0,0,0
0.405209395,0.893095413,0.311874164,0.695065458,0.654259744,0.873722437,0.464835778,0.406025616,0.747469619,0.313891055,0.682175474,0.437510451,0.001490017,0.076528222,0.017184861,0.003178703,0.034171054,0.040131121,0,0.659729237,0.086331916,0.922590688,0.001688686,0.000596007,0.002185358,0,0,0.119826439,0.003874044,0,0,0,0,0.767445606,0.993298885,0,0,0.003774709,0,0.097038094,0.299652065,0.74848268,0.485327255,0,0.000695341,0,0.001887355,0,0.117810669,0,0,0.001390682,0.004966723,0.000198669,0,0,0.003178703,0.638763851,0.232838635,0.076881231,0.94939634,0.012961212,0.907150024,0.27556291,0.439548041,0,0,0
